,Country_ID,Country,Total Population,Region,A/V & Photo Adj,Education Adj,Jewellery & Travel Goods Adj,Reading Materials Adj,Recreation - Other Adj,Garden & Pets Adj,Personal Care Adj,Recreational & Cultural Services Adj,Disposable Income Adj,Action Figure Toys Adj,Arts & Crafts Toys Adj,Baby Toys Adj,Construction Toys Adj,Dolls Adj,Dress-Up & Role Play Adj,Games & Puzzles Adj,Model Vehicles Adj,Other Toys & Games Adj,Outdoor Toys & Sports Adj,Plush Toys Adj,Pre-School Toys Adj,Remote Control Toys Adj,Ride-On Toy Vehicles Adj,Educational Toys Adj,Video Games Hardware Adj,Video Games Software Adj,Total Toys,BinIncome
14,15,Cambodia,16589.0,Asia Pacific,14.799320582286558,77.07842624722312,23.032951776536795,12.471217827353124,5.772997613564677,17.416754265767853,40.70193130356223,33.86280718909337,3.4492806412807764,,,,,,,,,,,,,,,,,,,2-4K
15,16,Cameroon,27198.6,Middle East and Africa,1.581790488204789,18.511917390291032,4.1636875671225475,4.303005091648624,2.103688135934894,12.740923186068645,30.60292448655575,5.970957162685168,2.861172041859038,,,,,,,,,,,,,,,,,,,2-4K
16,17,Canada,38246.1,North America,351.8354376873285,491.1982311050452,21.043539951350162,150.34430525813963,256.3093579040303,772.2312427498055,638.5204417356716,773.5363867165541,3.1383156278243622,3.4447956785136262,5.333877179634003,2.7301258603273713,4.876314186283047,4.067952898029691,2.303067066533146,8.987844512250922,3.4491534213074453,1.5971127339345277,5.78708243019114,2.660401975626273,3.924147385833676,3.000305913544126,1.5469986918056133,4.074489512220419,18.359170390357885,80.83612882533558,156.9789686617285,2-4K
17,18,Chile,19465.7,Latin America,129.29808091944068,58.20277507664084,152.8984037720696,129.1061736393239,8.062523157993326,330.869423980528,653.9179516749697,333.4834017231266,17.272826566765055,,,,,,,,,,,,,,,,,,,15-20K
18,19,China,1412120.0,Asia Pacific,84.26755853745061,442.25158593023934,40.34073051932724,38.011254270849776,24.472070362292158,77.04319611310518,48.282184301077876,99.17493184850066,11.356203860322136,0.6423809928469588,0.6186746573540898,0.9857013365921958,2.220993629301705,1.4844111454172921,0.9634450330000284,1.520476473738236,0.9135538191142532,0.32694847193615,0.4575187863435321,0.806335762642592,0.8682993351435127,1.0937455740305355,1.0753335410588336,0.40105184639643465,0.9446114791269593,50.66337273373502,65.98685461777832,9-12K
19,20,Colombia,51466.2,Latin America,19.5191581215971,505.0465134088458,145.82146030717146,37.6197285383027,1.574865728016208,12.665487278088213,255.52732779357274,2.2829204853277427,12.809992729523264,,,,,,,,,,,,,,,,,,,12-15K
20,21,Costa Rica,5124.6,Latin America,35.08158228220997,640.660343309599,181.81003045257708,26.45813835296874,3.5625936324878706,48.057178410332455,1669.8364198424244,51.594111104290995,14.80631939045668,,,,,,,,,,,,,,,,,,,12-15K
21,22,Côte d'Ivoire,27478.2,Middle East and Africa,2.7585142929365363,141.5717811618515,23.649110480055175,16.943275745972358,2.502939107111658,16.331301031242635,74.71557917882406,25.63972526436612,0.4305157608691366,,,,,,,,,,,,,,,,,,,Under 2K
22,23,Croatia,3916.9,Eastern Europe,364.37456917460236,220.34325614644234,41.68634634532411,390.2400495289642,141.1910567030049,28.05949858306313,766.3027521764659,751.5031019428628,22.84212323521152,,,,,,,,,,,,,,,,,,,20-25K
23,24,Czech Republic,10494.8,Eastern Europe,247.90225782145592,10.824408278385487,10.248298791196227,140.98923716067446,28.46904401007386,312.1032833842988,526.1448160407645,68.14583632626854,24.45740161427931,,,,,,,,,,,,,,,,,,,20-25K
24,25,Denmark,5840.0,Western Europe,552.4458188509507,251.86822735636883,189.68258024943773,222.63340830096098,152.2004702514823,552.8956246166427,592.6012062972807,1258.1297280719687,29.194234307912495,,,,,,,,,,,,,,,,,,,25-30K
25,26,Dominican Republic,11117.9,Latin America,164.3762749567609,365.8087693229564,1.8045935958445847,30.820409236285744,0.12448090419285462,53.756015833819205,133.44694492930643,49.02574147449074,15.663379422008598,,,,,,,,,,,,,,,,,,,15-20K
26,27,Ecuador,17664.4,Latin America,107.14204841375874,325.3323067865311,34.6685989900591,101.83193315368763,2.3776635492855682,48.7760693824868,407.5881433844342,65.31781436108783,8.296222911618848,,,,,,,,,,,,,,,,,,,6-9K
27,28,Egypt,101463.7,Middle East and Africa,11.431588877084378,5.59549011552686,46.72799880325588,93.90293405853309,0.23696630677640937,9.140557486162004,302.8118730489649,8.109132711458898,12.198823001638068,,,,,,,,,,,,,,,,,,,12-15K
28,29,El Salvador,6314.2,Latin America,122.39080168509074,245.38342149440945,50.362674606442624,71.93310316429636,3.579234107250325,172.31003135789175,395.6479047226885,63.79272116816066,1.0603718602514967,,,,,,,,,,,,,,,,,,,Under 2K
29,30,Estonia,1330.1,Eastern Europe,302.9847379896249,96.73458135979753,174.04706413051653,215.52264240783902,16.038894318722907,413.62804801643995,533.9197554068618,577.4001954740246,21.28624414204446,,,,,,,,,,,,,,,,,,,20-25K
30,31,Ethiopia,120283.0,Middle East and Africa,0.9723471690294897,0.5265160933115948,0.22435100147810885,0.32878097977210463,0.12841418293081835,0.9165435208345881,57.27763008784379,1.3003506060078818,2.0495728389229786,,,,,,,,,,,,,,,,,,,2-4K
31,32,Finland,5533.8,Western Europe,329.40745961183995,112.12909754599006,138.03805703133472,312.98565181249774,204.33517655137518,638.2368354476127,608.6911344826339,998.6356572337272,30.994072789041887,,,,,,,,,,,,,,,,,,,30-40K
32,33,France,65235.8,Western Europe,300.13756688373996,133.86383374947937,279.1236888772291,32.33106449438586,1.4058888787182149,66.68555784225401,674.6142455522888,721.7794085894117,34.050869526942485,5.29069708875889,3.742467435715622,8.518547878837781,10.79162055190555,8.288612781851157,2.213946505271207,13.517993844746947,2.1351116148757936,2.741702299307173,5.787794869863305,2.5249063507197844,4.495778610605133,2.6825761315106122,0.9525882589445848,1.4190280271174502,19.97588528297127,62.18320965744927,157.26246719045156,30-40K
33,34,Georgia,3728.6,Eastern Europe,117.73856139033417,432.1997532585957,64.20640454862415,58.97655956659336,5.980797082014697,36.82347261706807,257.0669956552057,163.92211553934456,12.231132328487904,,,,,,,,,,,,,,,,,,,12-15K
34,35,Germany,83155.0,Western Europe,485.43769380760546,274.47537730743795,19.86479637853578,401.0737263458086,82.57556886021803,661.0804263982066,617.0456204849808,785.6532980578438,38.106345293213195,7.553879588032675,1.659551440081775,3.3465902746162506,14.8741163232174,4.533702122542241,0.718108180076793,10.780212511918362,3.681592894508534,1.6080125754829624,3.83964541261156,3.8447992990714415,6.43720418839173,6.179509865397666,2.1354269565441473,0.9826743516840326,23.56013297027067,48.87086937474768,144.60602832919594,30-40K
35,36,Ghana,32833.0,Middle East and Africa,18.74307265092517,524.0697654401258,4.910224204439066,31.532432242746232,2.5544289348335916,5.04661932122904,68.84113147032613,19.46212651905096,4.169471594723761,,,,,,,,,,,,,,,,,,,4-6K
36,37,Greece,10678.6,Western Europe,167.41895004963197,523.8139831063997,77.38842170321952,126.36487929129287,103.98366827112169,149.30796171782816,588.5041110257898,672.7099057928942,24.306407206937237,,,,,,,,,,,,,,,,,,,20-25K
