Country_ID,Geography,Category,Data Type,Unit,Current Constant,2021
8,Bangladesh,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BDT million,Current Prices,381261.7
8,Bangladesh,Disposable Income,Socio-economic indicators,BDT million,Current Prices,23421390.4
8,Bangladesh,Total Population,Socio-economic indicators,0,-,169356.3
9,Belarus,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BYN million,Current Prices,1155.7
9,Belarus,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BYN million,Current Prices,37.5
9,Belarus,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BYN million,Current Prices,621.8
9,Belarus,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BYN million,Current Prices,139.4
9,Belarus,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BYN million,Current Prices,496.4
9,Belarus,Consumer Expenditure on Education,Socio-economic indicators,BYN million,Current Prices,1145.7
9,Belarus,Consumer Expenditure on Personal Care,Socio-economic indicators,BYN million,Current Prices,2646.2
9,Belarus,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BYN million,Current Prices,147.9
9,Belarus,Disposable Income,Socio-economic indicators,BYN million,Current Prices,94528.1
9,Belarus,Total Population,Socio-economic indicators,0,-,9349.6
10,Belgium,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,EUR million,Current Prices,2926.6
10,Belgium,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,EUR million,Current Prices,833.3
10,Belgium,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,EUR million,Current Prices,580.8
10,Belgium,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,EUR million,Current Prices,6652.2
10,Belgium,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,EUR million,Current Prices,2712
10,Belgium,Consumer Expenditure on Education,Socio-economic indicators,EUR million,Current Prices,881.6
10,Belgium,Consumer Expenditure on Personal Care,Socio-economic indicators,EUR million,Current Prices,4417.6
10,Belgium,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,EUR million,Current Prices,1381.8
10,Belgium,Disposable Income,Socio-economic indicators,EUR million,Current Prices,302669.8
10,Belgium,Total Population,Socio-economic indicators,0,-,11521.2
11,Bolivia,Consumer Expenditure on Audio-Visual & Photographic and Information Processing Equipment,Socio-economic indicators,BOB million,Current Prices,770
11,Bolivia,Consumer Expenditure on Other Major Durables For Recreation and Culture,Socio-economic indicators,BOB million,Current Prices,121
11,Bolivia,Consumer Expenditure on Other Recreational Items and Equipment & Gardens and Pets,Socio-economic indicators,BOB million,Current Prices,393.7
11,Bolivia,Consumer Expenditure on Recreational and Cultural Services,Socio-economic indicators,BOB million,Current Prices,944.2
11,Bolivia,Consumer Expenditure on Newspapers & Magazines & Books and Stationery,Socio-economic indicators,BOB million,Current Prices,876.9
11,Bolivia,Consumer Expenditure on Education,Socio-economic indicators,BOB million,Current Prices,9372.5
11,Bolivia,Consumer Expenditure on Personal Care,Socio-economic indicators,BOB million,Current Prices,1842.2
11,Bolivia,Consumer Expenditure on Jewellery & Silverware & Watches and Clocks & Travel Goods,Socio-economic indicators,BOB million,Current Prices,604.7
